,Primary,Secondary,true
1350,Sports,Autos_and_Vehicles,People_and_Society
1351,Gambling,Travel,Sports
1352,Food_and_Drink,Health,Beauty_and_Fitness
1353,Health,Beauty_and_Fitness,Sports
1354,Autos_and_Vehicles,Sports,Sports
1361,People_and_Society,Health,Health
1362,Finance,People_and_Society,Internet_and_Telecom
1363,Business_and_Industry,Computer_and_Electronics,Autos_and_Vehicles
1364,Recreation_and_Hobbies,Pets_and_Animals,Pets_and_Animals
1365,Computer_and_Electronics,Finance,Law_and_Government
1367,Finance,People_and_Society,Beauty_and_Fitness
1369,Shopping,Business_and_Industry,Recreation_and_Hobbies
1370,News_and_Media,People_and_Society,Health
1371,Reference,Books_and_Literature,Books_and_Literature
1374,Adult,Gambling,Law_and_Government
1375,Recreation_and_Hobbies,Pets_and_Animals,Arts_and_Entertainment
1378,Shopping,Beauty_and_Fitness,Adult
1380,People_and_Society,Internet_and_Telecom,Books_and_Literature
1381,Internet_and_Telecom,Finance,Finance
1382,People_and_Society,Beauty_and_Fitness,Career_and_Education
1384,Travel,Recreation_and_Hobbies,Sports
1386,Games,Reference,Reference
1387,News_and_Media,Reference,Law_and_Government
1388,Computer_and_Electronics,Internet_and_Telecom,Food_and_Drink
1390,Sports,Internet_and_Telecom,Beauty_and_Fitness
1391,Computer_and_Electronics,Business_and_Industry,Science
1394,Books_and_Literature,Finance,Finance
1397,Recreation_and_Hobbies,Travel,Sports
1399,Finance,Computer_and_Electronics,Computer_and_Electronics
1400,Business_and_Industry,Law_and_Government,Finance
1403,People_and_Society,Reference,Health
1406,Computer_and_Electronics,Law_and_Government,Internet_and_Telecom
1411,Gambling,Reference,Internet_and_Telecom
1412,Travel,Science,Books_and_Literature
1424,Books_and_Literature,People_and_Society,People_and_Society
1425,Sports,Books_and_Literature,Beauty_and_Fitness
1426,Gambling,Games,Internet_and_Telecom
1428,Games,Internet_and_Telecom,Books_and_Literature
1429,Books_and_Literature,News_and_Media,Law_and_Government
1433,People_and_Society,Health,Books_and_Literature
1434,Books_and_Literature,Sports,Gambling
1437,News_and_Media,Internet_and_Telecom,Law_and_Government
1438,People_and_Society,Reference,Law_and_Government
1440,Sports,Business_and_Industry,Beauty_and_Fitness
1448,Food_and_Drink,Beauty_and_Fitness,Beauty_and_Fitness
1451,Science,Games,Career_and_Education
1454,Computer_and_Electronics,Business_and_Industry,Career_and_Education
1457,Autos_and_Vehicles,Business_and_Industry,Sports
1458,Books_and_Literature,News_and_Media,News_and_Media
1459,People_and_Society,Games,Games
1461,People_and_Society,Books_and_Literature,Books_and_Literature
1466,Computer_and_Electronics,Internet_and_Telecom,Health
1468,Career_and_Education,Beauty_and_Fitness,Health
1469,Reference,Recreation_and_Hobbies,Recreation_and_Hobbies
1471,News_and_Media,Arts_and_Entertainment,Arts_and_Entertainment
1473,Computer_and_Electronics,Internet_and_Telecom,Pets_and_Animals
1475,Sports,News_and_Media,Gambling
1476,Computer_and_Electronics,Business_and_Industry,Books_and_Literature
1478,Games,Reference,People_and_Society
1479,Sports,Books_and_Literature,Travel
1485,News_and_Media,Science,Autos_and_Vehicles
1486,Computer_and_Electronics,Finance,Games
1487,Arts_and_Entertainment,Beauty_and_Fitness,Gambling
1490,Computer_and_Electronics,Internet_and_Telecom,Reference
1492,Sports,Books_and_Literature,Internet_and_Telecom
1493,Finance,Law_and_Government,Computer_and_Electronics
1499,Computer_and_Electronics,Finance,Business_and_Industry
1500,Law_and_Government,Finance,Health
1501,Science,Law_and_Government,Career_and_Education
1503,Reference,Travel,Travel
1509,Computer_and_Electronics,Internet_and_Telecom,Career_and_Education
1512,Career_and_Education,Health,Health
1515,Career_and_Education,Reference,Books_and_Literature
1516,Finance,Autos_and_Vehicles,Arts_and_Entertainment
1517,Health,People_and_Society,Arts_and_Entertainment
1520,Career_and_Education,Law_and_Government,Health
1522,Books_and_Literature,Reference,Law_and_Government
1529,Law_and_Government,Finance,Business_and_Industry
1533,Recreation_and_Hobbies,Travel,Travel
1535,Autos_and_Vehicles,Gambling,Reference
1538,Beauty_and_Fitness,Shopping,News_and_Media
1542,Computer_and_Electronics,Games,Food_and_Drink
1543,Sports,Pets_and_Animals,Pets_and_Animals
1549,Books_and_Literature,Reference,Business_and_Industry
1550,Internet_and_Telecom,Recreation_and_Hobbies,Books_and_Literature
1551,Books_and_Literature,Reference,Reference
1553,Business_and_Industry,Career_and_Education,Sports
1557,Law_and_Government,People_and_Society,People_and_Society
1559,News_and_Media,People_and_Society,Finance
1561,Games,Computer_and_Electronics,Books_and_Literature
1566,Computer_and_Electronics,Internet_and_Telecom,Recreation_and_Hobbies
1568,Science,Shopping,Business_and_Industry
1572,Shopping,Home_and_Garden,Autos_and_Vehicles
1578,Science,Computer_and_Electronics,Computer_and_Electronics
1579,Science,People_and_Society,People_and_Society
1584,Games,Internet_and_Telecom,Science
1588,Sports,Food_and_Drink,Beauty_and_Fitness
1589,Books_and_Literature,Sports,Reference
1593,Computer_and_Electronics,Arts_and_Entertainment,Internet_and_Telecom
1594,Computer_and_Electronics,Science,Career_and_Education
1595,Computer_and_Electronics,Internet_and_Telecom,Reference
1597,Business_and_Industry,Computer_and_Electronics,Gambling
1599,Law_and_Government,Career_and_Education,Business_and_Industry
1602,Reference,Books_and_Literature,Business_and_Industry
1605,Recreation_and_Hobbies,Reference,Reference
1607,Computer_and_Electronics,Games,Arts_and_Entertainment
1609,Games,Gambling,Food_and_Drink
1611,Books_and_Literature,Science,Sports
1613,Sports,News_and_Media,News_and_Media
1614,Computer_and_Electronics,Arts_and_Entertainment,Gambling
1617,Reference,Arts_and_Entertainment,News_and_Media
1620,Travel,Sports,Food_and_Drink
1625,Gambling,Travel,Internet_and_Telecom
1626,Science,Career_and_Education,Career_and_Education
1631,News_and_Media,Arts_and_Entertainment,Arts_and_Entertainment
1632,Computer_and_Electronics,Beauty_and_Fitness,Food_and_Drink
1634,Travel,Reference,Arts_and_Entertainment
1636,People_and_Society,Science,News_and_Media
1639,Law_and_Government,Finance,Internet_and_Telecom
1643,Law_and_Government,People_and_Society,Career_and_Education
1646,Health,People_and_Society,Science
1647,Sports,Reference,Travel
1650,Sports,Gambling,Gambling
1652,Beauty_and_Fitness,Home_and_Garden,People_and_Society
1654,Gambling,Law_and_Government,Health
1655,Sports,Internet_and_Telecom,Career_and_Education
1658,Autos_and_Vehicles,Finance,Adult
1660,Home_and_Garden,Games,News_and_Media
1663,Science,Computer_and_Electronics,Internet_and_Telecom
1666,Books_and_Literature,News_and_Media,Business_and_Industry
1667,Games,Computer_and_Electronics,Computer_and_Electronics
1675,Computer_and_Electronics,Business_and_Industry,Food_and_Drink
1676,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
1678,People_and_Society,Law_and_Government,News_and_Media
1680,News_and_Media,Science,Internet_and_Telecom
1682,Recreation_and_Hobbies,Pets_and_Animals,Law_and_Government
1690,People_and_Society,Science,Career_and_Education
1693,Autos_and_Vehicles,Business_and_Industry,Games
1694,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
1695,Reference,Arts_and_Entertainment,Books_and_Literature
1696,Travel,Beauty_and_Fitness,Beauty_and_Fitness
1698,Computer_and_Electronics,Reference,Health
1699,News_and_Media,Internet_and_Telecom,Sports
1705,People_and_Society,Health,Games
1707,Business_and_Industry,Autos_and_Vehicles,Autos_and_Vehicles
1709,Books_and_Literature,Beauty_and_Fitness,Arts_and_Entertainment
1714,News_and_Media,Books_and_Literature,Internet_and_Telecom
1716,Autos_and_Vehicles,Finance,Recreation_and_Hobbies
1721,Games,Shopping,Computer_and_Electronics
1722,News_and_Media,Sports,Sports
1723,Computer_and_Electronics,Games,Business_and_Industry
1725,Home_and_Garden,Sports,Reference
1730,Books_and_Literature,Sports,Reference
1732,Computer_and_Electronics,People_and_Society,Reference
1736,Food_and_Drink,Games,People_and_Society
1740,Home_and_Garden,Games,News_and_Media
1746,Gambling,Sports,Internet_and_Telecom
1751,Law_and_Government,Health,Science
1753,Business_and_Industry,Law_and_Government,Law_and_Government
1755,Books_and_Literature,News_and_Media,Travel
1756,Computer_and_Electronics,Law_and_Government,Internet_and_Telecom
1760,Sports,Books_and_Literature,Travel
1762,Books_and_Literature,News_and_Media,Sports
1763,People_and_Society,News_and_Media,News_and_Media
1767,Finance,Computer_and_Electronics,Arts_and_Entertainment
1768,Computer_and_Electronics,Books_and_Literature,Books_and_Literature
1769,Internet_and_Telecom,Arts_and_Entertainment,Reference
1771,Computer_and_Electronics,News_and_Media,News_and_Media
1774,Travel,Gambling,Gambling
1775,Reference,Recreation_and_Hobbies,Arts_and_Entertainment
1778,Business_and_Industry,Food_and_Drink,Food_and_Drink
1779,Sports,Reference,People_and_Society
1790,Sports,News_and_Media,Adult
1791,Shopping,Internet_and_Telecom,Recreation_and_Hobbies
1795,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
1797,Shopping,Food_and_Drink,Food_and_Drink
1799,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
1809,Internet_and_Telecom,Computer_and_Electronics,Finance
1812,Career_and_Education,Business_and_Industry,Shopping
1813,Beauty_and_Fitness,Food_and_Drink,Autos_and_Vehicles
1814,Beauty_and_Fitness,Home_and_Garden,Books_and_Literature
1817,Autos_and_Vehicles,Recreation_and_Hobbies,Recreation_and_Hobbies
1826,Home_and_Garden,Health,Law_and_Government
1832,Internet_and_Telecom,Arts_and_Entertainment,Gambling
1837,Home_and_Garden,Games,Pets_and_Animals
1839,Games,Home_and_Garden,Business_and_Industry
1842,Books_and_Literature,People_and_Society,People_and_Society
1844,Gambling,Sports,Sports
1846,Recreation_and_Hobbies,Travel,Sports
1851,Law_and_Government,People_and_Society,People_and_Society
1854,Books_and_Literature,Reference,Science
1864,Sports,Autos_and_Vehicles,Autos_and_Vehicles
1865,Computer_and_Electronics,Beauty_and_Fitness,Travel
1869,Shopping,Food_and_Drink,Food_and_Drink
1871,Computer_and_Electronics,Business_and_Industry,Science
1875,Books_and_Literature,Games,Reference
1876,Books_and_Literature,People_and_Society,People_and_Society
1880,Books_and_Literature,News_and_Media,Arts_and_Entertainment
1881,Finance,Law_and_Government,Business_and_Industry
1883,Computer_and_Electronics,Business_and_Industry,Gambling
1886,Books_and_Literature,News_and_Media,Career_and_Education
1890,Books_and_Literature,News_and_Media,Reference
1891,Law_and_Government,Beauty_and_Fitness,Books_and_Literature
1892,Beauty_and_Fitness,Home_and_Garden,News_and_Media
1896,Computer_and_Electronics,Internet_and_Telecom,News_and_Media
1900,Finance,Computer_and_Electronics,News_and_Media
1903,Books_and_Literature,News_and_Media,People_and_Society
1905,Beauty_and_Fitness,Home_and_Garden,Arts_and_Entertainment
1907,Computer_and_Electronics,Internet_and_Telecom,Reference
1912,Sports,News_and_Media,News_and_Media
1913,People_and_Society,Law_and_Government,Reference
1915,Computer_and_Electronics,Internet_and_Telecom,Reference
1916,People_and_Society,Books_and_Literature,Health
1919,Beauty_and_Fitness,Arts_and_Entertainment,Books_and_Literature
1922,People_and_Society,Books_and_Literature,Reference
1923,Arts_and_Entertainment,Beauty_and_Fitness,Beauty_and_Fitness
1925,Reference,Sports,Games
1928,People_and_Society,Reference,Reference
1932,Business_and_Industry,Computer_and_Electronics,Sports
1933,Recreation_and_Hobbies,Pets_and_Animals,Pets_and_Animals
1935,Science,Health,Business_and_Industry
1939,People_and_Society,Health,Health
1941,People_and_Society,Games,Reference
1944,Health,People_and_Society,Books_and_Literature
1946,Arts_and_Entertainment,Internet_and_Telecom,People_and_Society
1948,Computer_and_Electronics,Internet_and_Telecom,Law_and_Government
1951,Career_and_Education,Arts_and_Entertainment,Internet_and_Telecom
1952,Books_and_Literature,Finance,Internet_and_Telecom
1953,News_and_Media,Shopping,Sports
1955,Computer_and_Electronics,People_and_Society,Games
1956,Computer_and_Electronics,Sports,Health
1958,Shopping,Beauty_and_Fitness,Beauty_and_Fitness
1960,Internet_and_Telecom,Sports,Sports
1962,Health,Career_and_Education,Career_and_Education
1963,Beauty_and_Fitness,Business_and_Industry,Internet_and_Telecom
1964,Books_and_Literature,News_and_Media,Health
1966,Gambling,Travel,Sports
1968,Beauty_and_Fitness,Shopping,News_and_Media
1970,News_and_Media,People_and_Society,Beauty_and_Fitness
1971,Reference,Arts_and_Entertainment,Books_and_Literature
1972,Law_and_Government,Business_and_Industry,Business_and_Industry
1976,Computer_and_Electronics,Food_and_Drink,Beauty_and_Fitness
1977,Games,Computer_and_Electronics,Internet_and_Telecom
1978,News_and_Media,Career_and_Education,Health
1980,News_and_Media,Books_and_Literature,Books_and_Literature
1983,Beauty_and_Fitness,Sports,Sports
1984,Beauty_and_Fitness,Finance,Gambling
1985,Travel,Recreation_and_Hobbies,Food_and_Drink
1987,Books_and_Literature,Travel,Food_and_Drink
1988,Business_and_Industry,Beauty_and_Fitness,Computer_and_Electronics
1989,Computer_and_Electronics,Business_and_Industry,Business_and_Industry
1991,Health,Reference,Career_and_Education
1995,Career_and_Education,Law_and_Government,Law_and_Government
1997,Autos_and_Vehicles,Shopping,Shopping
1998,News_and_Media,Gambling,Business_and_Industry
2002,Finance,Internet_and_Telecom,Beauty_and_Fitness
2005,Beauty_and_Fitness,Reference,People_and_Society
2013,Finance,Law_and_Government,Business_and_Industry
2014,Beauty_and_Fitness,Health,Health
2017,Science,Career_and_Education,Reference
2018,People_and_Society,News_and_Media,Internet_and_Telecom
2022,Beauty_and_Fitness,Travel,Shopping
2027,Science,Business_and_Industry,Business_and_Industry
2028,Computer_and_Electronics,Internet_and_Telecom,Gambling
2029,Books_and_Literature,Finance,Reference
2033,Sports,Career_and_Education,News_and_Media
2034,Computer_and_Electronics,Internet_and_Telecom,Health
2036,Reference,Books_and_Literature,Books_and_Literature
2037,Games,Arts_and_Entertainment,Arts_and_Entertainment
2038,People_and_Society,Business_and_Industry,Health
2039,Health,Beauty_and_Fitness,Reference
2042,People_and_Society,News_and_Media,Law_and_Government
2044,Computer_and_Electronics,Games,News_and_Media
2045,Computer_and_Electronics,Reference,Science
2048,Beauty_and_Fitness,Food_and_Drink,Games
2050,Arts_and_Entertainment,Internet_and_Telecom,Business_and_Industry
2052,Shopping,Beauty_and_Fitness,Beauty_and_Fitness
2053,Computer_and_Electronics,Internet_and_Telecom,Finance
2059,Books_and_Literature,News_and_Media,Business_and_Industry
2062,Autos_and_Vehicles,Shopping,Business_and_Industry
2063,Sports,Autos_and_Vehicles,Autos_and_Vehicles
2066,Beauty_and_Fitness,Health,Health
2069,Sports,Gambling,Reference
2074,Reference,Books_and_Literature,Career_and_Education
2077,News_and_Media,Books_and_Literature,Law_and_Government
2081,Books_and_Literature,Reference,Internet_and_Telecom
2082,Books_and_Literature,News_and_Media,Travel
2083,Books_and_Literature,People_and_Society,Internet_and_Telecom
2086,Recreation_and_Hobbies,Travel,Travel
2089,Reference,Science,Science
2090,Food_and_Drink,Shopping,Shopping
2093,Finance,Law_and_Government,People_and_Society
2094,Reference,Arts_and_Entertainment,Arts_and_Entertainment
2096,Home_and_Garden,Reference,Games
2098,Computer_and_Electronics,Internet_and_Telecom,Gambling
2104,Travel,Law_and_Government,Law_and_Government
2106,People_and_Society,Computer_and_Electronics,Books_and_Literature
2107,Pets_and_Animals,Health,News_and_Media
2108,Beauty_and_Fitness,Home_and_Garden,Home_and_Garden
2110,Beauty_and_Fitness,Health,Health
2117,News_and_Media,Games,People_and_Society
2122,Internet_and_Telecom,Autos_and_Vehicles,Autos_and_Vehicles
2127,Books_and_Literature,News_and_Media,News_and_Media
2128,Business_and_Industry,Computer_and_Electronics,Internet_and_Telecom
2135,Beauty_and_Fitness,Reference,Health
2138,Science,Computer_and_Electronics,Reference
2141,Health,Beauty_and_Fitness,Beauty_and_Fitness
2144,Sports,Home_and_Garden,Law_and_Government
2145,Reference,Travel,People_and_Society
2151,Gambling,Sports,Health
2158,Computer_and_Electronics,Games,Travel
2160,Sports,Career_and_Education,Career_and_Education
2162,Beauty_and_Fitness,Health,Health
2163,Gambling,Games,Finance
2169,People_and_Society,Science,Career_and_Education
2171,Books_and_Literature,News_and_Media,Games
2174,Travel,Recreation_and_Hobbies,Sports
2175,Books_and_Literature,Finance,Internet_and_Telecom
2176,Pets_and_Animals,Sports,Travel
2177,Games,News_and_Media,Autos_and_Vehicles
2180,Career_and_Education,Books_and_Literature,Reference
2183,Beauty_and_Fitness,Finance,Games
2189,Law_and_Government,Career_and_Education,Career_and_Education
2190,Career_and_Education,Games,Health
2191,Reference,Games,Arts_and_Entertainment
2194,Business_and_Industry,Computer_and_Electronics,Internet_and_Telecom
2197,News_and_Media,Science,Career_and_Education
2201,Home_and_Garden,Arts_and_Entertainment,Reference
2203,People_and_Society,Law_and_Government,Law_and_Government
2209,Sports,Science,Autos_and_Vehicles
2210,Internet_and_Telecom,Finance,Business_and_Industry
2213,Travel,Business_and_Industry,Health
2217,Books_and_Literature,News_and_Media,Reference
2218,Games,Arts_and_Entertainment,Reference
2222,Beauty_and_Fitness,Computer_and_Electronics,Computer_and_Electronics
2228,Home_and_Garden,Games,Science
2229,Health,Food_and_Drink,Food_and_Drink
2232,Reference,Computer_and_Electronics,People_and_Society
2237,Business_and_Industry,Computer_and_Electronics,Career_and_Education
2238,Games,Internet_and_Telecom,Reference
2239,Health,Career_and_Education,Internet_and_Telecom
2241,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
2242,Computer_and_Electronics,Science,Food_and_Drink
2243,News_and_Media,People_and_Society,Law_and_Government
2245,Reference,Computer_and_Electronics,Computer_and_Electronics
2246,Food_and_Drink,Internet_and_Telecom,Home_and_Garden
2248,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
2250,Computer_and_Electronics,Internet_and_Telecom,Books_and_Literature
2251,Arts_and_Entertainment,Internet_and_Telecom,Internet_and_Telecom
2252,Autos_and_Vehicles,Shopping,Internet_and_Telecom
2256,Health,Home_and_Garden,People_and_Society
2257,Arts_and_Entertainment,Recreation_and_Hobbies,Games
2258,Food_and_Drink,Beauty_and_Fitness,Beauty_and_Fitness
2259,Career_and_Education,Health,Finance
2261,Finance,Computer_and_Electronics,Food_and_Drink
2262,Food_and_Drink,Business_and_Industry,Business_and_Industry
2264,Internet_and_Telecom,Books_and_Literature,Gambling
2265,Business_and_Industry,Finance,Travel
2267,Reference,People_and_Society,Career_and_Education
2270,Arts_and_Entertainment,Reference,Games
2272,Recreation_and_Hobbies,Food_and_Drink,Food_and_Drink
2273,Games,Computer_and_Electronics,News_and_Media
2276,Computer_and_Electronics,Reference,Sports
2280,News_and_Media,Career_and_Education,Finance
2283,Internet_and_Telecom,Recreation_and_Hobbies,Games
2287,Books_and_Literature,Reference,Reference
2288,Science,Reference,Reference
2289,Internet_and_Telecom,Recreation_and_Hobbies,Recreation_and_Hobbies
2291,Books_and_Literature,News_and_Media,Business_and_Industry
2293,Games,Home_and_Garden,Reference
2294,People_and_Society,Science,Autos_and_Vehicles
2299,Recreation_and_Hobbies,Shopping,Law_and_Government
2302,Autos_and_Vehicles,Science,Home_and_Garden
2303,Travel,Recreation_and_Hobbies,Sports
2304,Sports,Home_and_Garden,Law_and_Government
2306,Beauty_and_Fitness,Home_and_Garden,Autos_and_Vehicles
2307,Computer_and_Electronics,Internet_and_Telecom,Shopping
2308,Books_and_Literature,Sports,Autos_and_Vehicles
2313,Beauty_and_Fitness,Books_and_Literature,Books_and_Literature
2316,Games,Pets_and_Animals,Autos_and_Vehicles
2320,Autos_and_Vehicles,Career_and_Education,Books_and_Literature
2325,News_and_Media,Food_and_Drink,Food_and_Drink
2326,Internet_and_Telecom,Autos_and_Vehicles,Sports
2331,Books_and_Literature,Reference,Games
2333,Reference,Books_and_Literature,Health
2335,Beauty_and_Fitness,News_and_Media,News_and_Media
2336,Beauty_and_Fitness,People_and_Society,Health
2337,Food_and_Drink,Health,Internet_and_Telecom
2339,Recreation_and_Hobbies,Games,Shopping
2343,Reference,Books_and_Literature,Arts_and_Entertainment
2344,Gambling,Games,Computer_and_Electronics
2345,People_and_Society,Reference,Career_and_Education
2346,People_and_Society,Computer_and_Electronics,Arts_and_Entertainment
2348,Food_and_Drink,Travel,Business_and_Industry
2349,Recreation_and_Hobbies,Food_and_Drink,Food_and_Drink
2352,Beauty_and_Fitness,Health,Food_and_Drink
2354,Shopping,Recreation_and_Hobbies,Sports
2355,Food_and_Drink,Sports,Games
2357,Arts_and_Entertainment,Games,Shopping
2358,News_and_Media,People_and_Society,Books_and_Literature
2362,Internet_and_Telecom,Reference,Reference
2363,Home_and_Garden,Internet_and_Telecom,Computer_and_Electronics
2365,Books_and_Literature,Reference,Reference
2368,Reference,People_and_Society,Business_and_Industry
2370,Recreation_and_Hobbies,Pets_and_Animals,Internet_and_Telecom
2373,Internet_and_Telecom,Autos_and_Vehicles,Autos_and_Vehicles
2381,News_and_Media,Books_and_Literature,Internet_and_Telecom
2382,News_and_Media,Shopping,Shopping
2383,Health,Finance,Finance
2387,Food_and_Drink,Business_and_Industry,Career_and_Education
2389,Travel,Autos_and_Vehicles,Sports
2399,Games,Gambling,Beauty_and_Fitness
2402,Food_and_Drink,Beauty_and_Fitness,Health
2404,Computer_and_Electronics,Business_and_Industry,Business_and_Industry
2405,Science,Career_and_Education,Career_and_Education
2407,Law_and_Government,People_and_Society,Reference
2408,People_and_Society,Reference,Reference
2409,Beauty_and_Fitness,Arts_and_Entertainment,Arts_and_Entertainment
2412,Internet_and_Telecom,Adult,People_and_Society
2415,Books_and_Literature,People_and_Society,Reference
2416,Food_and_Drink,Games,Recreation_and_Hobbies
2417,Reference,Science,Science
2418,Travel,People_and_Society,Reference
2419,Reference,People_and_Society,People_and_Society
2420,Computer_and_Electronics,Adult,Gambling
2421,Beauty_and_Fitness,Finance,Computer_and_Electronics
2426,Computer_and_Electronics,Adult,Arts_and_Entertainment
2428,People_and_Society,Law_and_Government,Law_and_Government
2429,Business_and_Industry,Law_and_Government,Career_and_Education
2432,Travel,Arts_and_Entertainment,Reference
2436,Home_and_Garden,Reference,Science
2438,Home_and_Garden,Health,Health
2440,Law_and_Government,People_and_Society,News_and_Media
2441,Science,News_and_Media,Reference
2442,People_and_Society,News_and_Media,Books_and_Literature
2443,Books_and_Literature,Arts_and_Entertainment,Health
2444,Computer_and_Electronics,Science,Reference
2445,Shopping,People_and_Society,News_and_Media
2454,Sports,Recreation_and_Hobbies,Recreation_and_Hobbies
2455,Home_and_Garden,Sports,People_and_Society
2456,News_and_Media,Career_and_Education,Travel
2460,Home_and_Garden,Shopping,Arts_and_Entertainment
2464,Shopping,Travel,Autos_and_Vehicles
2465,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
2468,Sports,Computer_and_Electronics,Business_and_Industry
2470,Gambling,Beauty_and_Fitness,News_and_Media
2477,Science,Books_and_Literature,Reference
2478,Home_and_Garden,Games,Travel
2479,Law_and_Government,Finance,Business_and_Industry
2480,People_and_Society,Reference,News_and_Media
2481,News_and_Media,Books_and_Literature,Shopping
2482,Beauty_and_Fitness,Arts_and_Entertainment,Gambling
2486,Games,Health,Health
2487,Reference,Books_and_Literature,News_and_Media
2490,Games,Reference,Autos_and_Vehicles
2492,Reference,Sports,Sports
2493,Business_and_Industry,Games,Games
2494,Reference,People_and_Society,Career_and_Education
2495,Science,Health,Health
2496,Games,Shopping,Law_and_Government
2499,Books_and_Literature,People_and_Society,Arts_and_Entertainment
2500,Business_and_Industry,Science,Science
2501,Internet_and_Telecom,Autos_and_Vehicles,Recreation_and_Hobbies
2502,Computer_and_Electronics,Internet_and_Telecom,Gambling
2504,Books_and_Literature,Reference,Career_and_Education
2505,Autos_and_Vehicles,Internet_and_Telecom,Internet_and_Telecom
2507,Food_and_Drink,Finance,Shopping
2509,Food_and_Drink,Health,Beauty_and_Fitness
2510,Gambling,Science,Travel
2518,Shopping,Sports,Autos_and_Vehicles
2519,Computer_and_Electronics,Business_and_Industry,People_and_Society
2520,Books_and_Literature,News_and_Media,Arts_and_Entertainment
2531,News_and_Media,Arts_and_Entertainment,Arts_and_Entertainment
2535,Business_and_Industry,Computer_and_Electronics,Autos_and_Vehicles
2536,People_and_Society,News_and_Media,News_and_Media
2541,Finance,Business_and_Industry,News_and_Media
2545,Sports,Books_and_Literature,Pets_and_Animals
2547,Sports,Books_and_Literature,Travel
2549,Computer_and_Electronics,Arts_and_Entertainment,Shopping
2551,Books_and_Literature,Reference,News_and_Media
2558,News_and_Media,Games,Books_and_Literature
2560,Health,Business_and_Industry,Law_and_Government
2561,Arts_and_Entertainment,Internet_and_Telecom,Computer_and_Electronics
2564,Books_and_Literature,People_and_Society,Arts_and_Entertainment
2566,Books_and_Literature,Food_and_Drink,Beauty_and_Fitness
2571,Business_and_Industry,Autos_and_Vehicles,Autos_and_Vehicles
2573,Computer_and_Electronics,Internet_and_Telecom,Reference
2577,Pets_and_Animals,Arts_and_Entertainment,Business_and_Industry
2579,Health,Beauty_and_Fitness,Career_and_Education
2581,Computer_and_Electronics,Health,Health
2583,News_and_Media,Gambling,Finance
2584,Beauty_and_Fitness,Health,Health
2585,Reference,Science,Books_and_Literature
2589,News_and_Media,Sports,People_and_Society
2593,People_and_Society,Books_and_Literature,Books_and_Literature
2597,Food_and_Drink,Recreation_and_Hobbies,Travel
2601,Career_and_Education,Health,People_and_Society
2602,Reference,Science,Science
2604,News_and_Media,Books_and_Literature,Books_and_Literature
2609,Recreation_and_Hobbies,Travel,Autos_and_Vehicles
2610,Gambling,Sports,Finance
2614,Law_and_Government,Business_and_Industry,Science
2616,Books_and_Literature,Sports,Beauty_and_Fitness
2619,News_and_Media,Games,Arts_and_Entertainment
2620,Recreation_and_Hobbies,Career_and_Education,News_and_Media
2623,Internet_and_Telecom,Autos_and_Vehicles,Health
2626,Reference,Pets_and_Animals,News_and_Media
2628,Books_and_Literature,Science,Computer_and_Electronics
2629,Sports,Beauty_and_Fitness,Beauty_and_Fitness
2630,Autos_and_Vehicles,Internet_and_Telecom,Recreation_and_Hobbies
2632,News_and_Media,Finance,Gambling
2636,Gambling,Travel,People_and_Society
2639,Science,News_and_Media,Books_and_Literature
2641,Food_and_Drink,Shopping,Beauty_and_Fitness
2642,News_and_Media,People_and_Society,Autos_and_Vehicles
2643,Reference,Internet_and_Telecom,News_and_Media
2645,Food_and_Drink,Internet_and_Telecom,Games
2651,People_and_Society,News_and_Media,Internet_and_Telecom
2652,Health,Science,Science
2653,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
2656,Travel,Autos_and_Vehicles,Business_and_Industry
2657,Gambling,Law_and_Government,News_and_Media
2659,Home_and_Garden,Sports,Finance
2662,Books_and_Literature,Gambling,News_and_Media
2664,News_and_Media,Shopping,Health
2665,Beauty_and_Fitness,Food_and_Drink,Adult
2666,Home_and_Garden,Games,Food_and_Drink
2668,Sports,News_and_Media,News_and_Media
2669,Business_and_Industry,Home_and_Garden,Beauty_and_Fitness
2670,Recreation_and_Hobbies,Travel,Travel
2671,Reference,Books_and_Literature,Books_and_Literature
2672,Computer_and_Electronics,Science,Science
2673,Business_and_Industry,Home_and_Garden,Home_and_Garden
2676,Home_and_Garden,Games,Autos_and_Vehicles
2679,Shopping,Games,Food_and_Drink
2680,Business_and_Industry,Science,Science
2682,Books_and_Literature,News_and_Media,News_and_Media
2683,Travel,Sports,Sports
2685,Business_and_Industry,Career_and_Education,Career_and_Education
2687,People_and_Society,Law_and_Government,Recreation_and_Hobbies
2688,Business_and_Industry,News_and_Media,Internet_and_Telecom
2690,Computer_and_Electronics,News_and_Media,News_and_Media
2691,Arts_and_Entertainment,Home_and_Garden,News_and_Media
2692,Career_and_Education,Finance,Finance
2693,Beauty_and_Fitness,Arts_and_Entertainment,Sports
2695,Reference,Travel,Business_and_Industry
2697,Science,Business_and_Industry,Law_and_Government
